World Rank,Location,Institution,Handle,National Rank,Quality of Education,Alumni Employment,Quality of Faculty,Research Performance,Score
423,USA,Saint Louis University,SLU_Official,120,-,274,187,512,75
1960,USA,Sam Houston State University,SamHoustonState,352,-,1446,-,1882,65.9
526,USA,San Diego State University,SDSU,144,321,471,-,515,73.9
1120,USA,San Francisco State University,SFSU,244,-,1335,-,1066,69.6
1289,USA,San Jose State University,SJSU,266,255,885,-,1269,68.7
899,USA,Sanford Burnham Prebys Medical Discovery Institute,SBPdiscovery,206,-,-,-,851,70.9
1156,USA,Santa Clara University,SantaClaraUniv,251,-,118,-,1504,69.4
1036,USA,Smith College,smithcollege,228,53,281,-,1872,70.1
1906,USA,Sonoma State University,SSU_1961,344,-,-,-,1830,66.1
1770,USA,South Dakota School of Mines and Technology,sdsmt,328,136,-,-,1923,66.6
1140,USA,South Dakota State University,SDState,248,297,-,-,1093,69.5
837,USA,Southern Illinois University Carbondale,SIUC,194,-,1423,-,795,71.3
299,USA,Southern Methodist University,SMU,100,193,29,-,651,76.8
1615,USA,St. John's University,StJohnsU,310,-,204,-,1904,67.3
1989,USA,St. Lawrence University,StLawrenceU,356,-,120,-,-,65.8
3,USA,Stanford University,Stanford,3,10,4,3,2,95.2
1112,USA,Stevens Institute of Technology,FollowStevens,243,372,175,-,1293,69.6
198,USA,Stony Brook University,stonybrooku,72,386,-,169,194,78.7
1257,USA,SUNY College of Environmental Science and Forestry,sunyesf,263,100,-,-,1439,68.9
708,USA,SUNY Downstate Medical Center,sunydownstate,175,-,-,149,892,72.3
1974,USA,SUNY Maritime College,MaritimeCollege,355,-,144,-,-,65.9
996,USA,SUNY Upstate Medical University,UpstateNews,221,-,-,-,954,70.3
563,USA,Swarthmore College,swarthmore,152,19,230,-,1960,73.5
471,USA,Syracuse University,SyracuseU,133,166,224,-,510,74.5
352,USA,Temple University,TempleUniv,111,-,648,-,319,76
73,USA,"Texas A&M University, College Station",tamu,41,-,139,69,95,83.1
1420,USA,Texas Christian University,TCU,283,-,-,-,1352,68.1
1212,USA,Texas State University,txst,259,-,1384,-,1146,69.1
427,USA,Texas Tech University,TexasTech,123,-,467,-,416,75
1406,USA,Texas Tech University Health Sciences Center,TTUHSC,281,-,-,-,1337,68.2
1994,USA,The New School,TheNewSchool,357,513,-,-,1912,65.8
220,USA,The Scripps Research Institute,scrippsresearch,78,-,-,71,295,78.2
414,USA,Thomas Jefferson University,JeffersonUniv,118,-,-,-,389,75.2
1728,USA,Towson University,TowsonU,324,-,792,-,1678,66.8
1954,USA,Trinity College,trinitycollege,351,109,250,-,-,66
1509,USA,Trinity University,Trinity_U,296,-,145,-,1950,67.7
122,USA,Tufts University,TuftsUniversity,55,81,62,164,225,80.9
425,USA,Tulane University,Tulane,121,239,351,-,426,75
839,USA,Uniformed Services University of the Health Sciences,USUhealthsci,195,-,-,-,796,71.3
1664,USA,Union College,UnionCollege,318,182,150,-,-,67.1
1081,USA,United States Military Academy,WestPoint_USMA,237,-,59,-,-,69.8
997,USA,United States Naval Academy,NavalAcademy,222,65,164,-,1665,70.3
390,USA,"University at Albany, SUNY",ualbany,115,216,787,208,443,75.5
290,USA,University at Buffalo,UBuffalo,95,-,616,-,241,76.9
874,USA,University of Akron,uakron,201,-,748,-,835,71.1
469,USA,University of Alabama - Tuscaloosa,UofAlabama,132,444,229,-,482,74.5
184,USA,University of Alabama at Birmingham,uabnews,68,-,899,231,151,79.1
1144,USA,University of Alabama in Huntsville,UAHuntsville,249,-,-,-,1086,69.5
1818,USA,University of Alaska Anchorage,uaanchorage,331,-,-,-,1740,66.5
679,USA,University of Alaska Fairbanks,uafairbanks,169,437,762,-,648,72.5
89,USA,University of Arizona,uarizona,48,474,208,70,101,82.3
542,USA,University of Arkansas - Fayetteville,UArkansas,147,271,389,-,534,73.7
1628,USA,University of Arkansas at Little Rock,UALR,313,-,1201,-,1550,67.2
675,USA,University of Arkansas for Medical Sciences,UAMS,168,-,-,-,638,72.5
34,USA,University of California San Diego,ucsandiego,22,116,-,13,18,86.2
12,USA,"University of California, Berkeley",UCBerkeley,10,9,57,8,14,90.1
56,USA,"University of California, Davis",ucdavis,35,123,577,62,46,84.2
80,USA,"University of California, Irvine",UCIrvine,45,-,1353,33,102,82.7
18,USA,"University of California, Los Angeles",ucla,15,49,63,19,10,88.6
852,USA,"University of California, Merced",ucmerced,198,-,-,-,810,71.2
242,USA,"University of California, Riverside",UCRiverside,82,365,-,219,217,77.8
37,USA,"University of California, San Francisco",ucsf,24,-,-,18,23,85.8
97,USA,"University of California, Santa Barbara",ucsantabarbara,50,208,486,26,133,81.9
246,USA,"University of California, Santa Cruz",ucsc,83,374,-,174,252,77.7
